date,count
2024-05-23,1
2024-05-27,4
2024-05-28,3
2024-05-29,4
2024-05-30,2
2024-06-02,6
2024-06-03,4
2024-06-04,6
2024-06-05,4
2024-06-06,4
2024-06-10,4
2024-06-11,7
2024-06-12,3
2024-06-16,5
2024-06-17,4
2024-06-19,3
2024-06-20,2
2024-06-25,2
2024-06-26,5
2024-06-27,3
2024-06-30,2
2024-07-01,5
2024-07-02,6
2024-07-07,6
2024-07-09,5
2024-07-11,2
2024-07-14,3
2024-07-15,3
2024-07-17,2
2024-07-18,3
2024-07-21,2
2024-07-23,2
2024-07-24,3
2024-07-25,9
2024-07-28,7
2024-07-29,6
2024-07-30,7
2024-07-31,1
2024-08-01,6
2024-08-04,8
2024-08-05,4
2024-08-06,3
2024-08-07,5
2024-08-08,1
2024-08-12,1
2024-08-14,1
2024-08-18,2
2024-08-19,1
2024-08-20,1
2024-08-21,1
2024-08-22,1
2024-08-25,2
2024-08-26,1
2024-08-27,1
2024-08-28,2
2024-08-29,2
2024-09-02,1
2024-09-03,1
2024-09-04,4
2024-09-05,2
2024-09-08,8
2024-09-09,5
2024-09-10,8
2024-09-11,6
2024-09-12,2
2024-09-16,1
2024-09-17,2
2024-09-18,3
2024-09-22,3
2024-09-23,1
2024-09-24,2
2024-09-25,1
2024-09-26,1
2024-09-30,1
2024-10-01,2
2024-10-02,2
2024-10-03,3
2024-10-08,1
2024-10-10,1
2024-10-13,1
2024-10-15,1
2024-10-16,1
2024-10-17,1
2024-10-20,1
2024-10-21,2
2024-10-22,2
2024-10-24,2
2024-10-27,1
2024-10-28,1
2024-10-29,3
2024-10-30,1
2024-10-31,5
2024-11-03,5
2024-11-04,6
2024-11-05,2
2024-11-06,4
2024-11-12,1
2024-11-13,1
2024-11-14,2
2024-11-17,1
2024-11-18,1
2024-11-19,1
2024-11-20,2
2024-11-21,2
2024-11-24,1
2024-11-25,1
2024-11-26,1
2024-11-28,1
2024-12-01,2
2024-12-02,2
2024-12-03,3
2024-12-04,2
2024-12-05,2
2024-12-08,1
2024-12-10,3
2024-12-11,4
2024-12-12,5
2024-12-16,2
2024-12-19,7
2024-12-23,7
2024-12-26,2
2024-12-30,2
2025-01-01,2
2025-01-02,2
2025-01-05,3
2025-01-06,1
2025-01-07,2
2025-01-09,2
2025-01-12,2
2025-01-13,2
2025-01-14,3
2025-01-15,4
2025-01-16,3
2025-01-20,2
2025-01-21,2
2025-01-22,2
2025-01-23,2
2025-01-26,2
2025-01-27,2
2025-01-28,4
2025-01-29,3
2025-01-30,3
2025-02-02,4
2025-02-03,3
2025-02-04,3
2025-02-05,3
2025-02-06,1
2025-02-09,1
2025-02-10,2
2025-02-11,2
2025-02-12,2
2025-02-13,3
2025-02-17,2
2025-02-18,1
2025-02-19,1
2025-02-20,1
2025-02-23,2
2025-02-24,5
2025-02-25,6
2025-02-27,5
2025-03-02,4
2025-03-03,10
2025-03-04,9
2025-03-05,5
2025-03-06,5
2025-03-09,4
2025-03-10,3
2025-03-11,5
2025-03-12,4
2025-03-13,5
2025-03-16,4
2025-03-17,3
2025-03-18,3
2025-03-19,2
2025-03-20,2
2025-03-30,4
2025-03-31,3
2025-04-01,5
2025-04-02,4
2025-04-03,7
2025-04-06,8
2025-04-07,6
2025-04-08,11
2025-04-09,6
2025-04-10,4
2025-04-13,2
2025-04-14,2
2025-04-15,2
2025-04-16,4
2025-04-21,3
2025-04-22,1
2025-04-30,1
2025-05-01,1
2025-05-04,2
2025-05-05,1
2025-05-11,3
2025-05-14,1
2025-05-15,1
2025-05-18,3
2025-05-19,2
2025-05-20,1
2025-05-26,3
2025-05-27,3
2025-05-28,4
2025-05-29,5
2025-06-01,5
2025-06-02,5
2025-06-03,6
2025-06-04,4
2025-06-05,5
2025-06-08,2
2025-06-09,1
2025-06-12,1
2025-06-15,4
2025-06-16,2
2025-06-17,3
2025-06-19,5
2025-06-22,3
2025-06-23,2
2025-06-24,2
2025-06-25,2
2025-06-26,4
2025-06-29,4
2025-06-30,4
2025-07-01,1
2025-07-02,1
2025-07-06,1
2025-07-07,1
2025-07-08,1
2025-07-10,1
2025-07-14,2
2025-07-15,1
2025-07-16,5
2025-07-17,2
2025-07-21,1
2025-07-22,1
2025-07-24,1
2025-07-28,1
2025-07-29,2
2025-07-30,3
2025-07-31,3
2025-08-03,8
2025-08-04,7
2025-08-05,6
2025-08-06,3
2025-08-07,2
2025-08-10,1
2025-08-11,3
2025-08-12,1
2025-08-13,1
2025-08-14,1
2025-08-17,1
2025-08-18,1
2025-08-19,1
2025-08-20,2
2025-08-21,1
2025-08-28,1
2025-09-01,1
2025-09-02,2
2025-09-03,2
2025-09-04,3
2025-09-07,4
2025-09-08,3
2025-09-09,1
2025-09-10,3
2025-09-11,5
2025-09-15,2
2025-09-16,1
2025-09-17,1
2025-09-18,1
2025-09-21,2
2025-09-22,3
2025-09-23,3
2025-09-28,5
2025-09-29,4
2025-09-30,4
2025-10-01,4
2025-10-02,6
2025-10-05,3
2025-10-06,5
2025-10-07,2
2025-10-08,4
2025-10-09,4
2025-10-12,6
2025-10-13,4
2025-10-14,5
2025-10-15,2
2025-10-16,2
2025-10-20,2
2025-10-21,2
2025-10-22,3
2025-10-23,1
2025-10-26,1
2025-10-28,2
2025-10-29,2
2025-10-30,3
2025-11-02,4
2025-11-03,2
2025-11-04,4
2025-11-05,5
2025-11-06,7
2025-11-09,6
2025-11-10,1
2025-11-11,2
2025-11-12,2
2025-11-13,2
2025-11-16,1
2025-11-17,2
2025-11-18,9
2025-11-19,4
2025-11-20,10
2025-11-23,7
2025-11-24,3
2025-11-25,1
2025-11-27,2
2025-11-30,1
2025-12-01,1
2025-12-02,1
2025-12-03,1
2025-12-04,2
2025-12-09,1
2025-12-11,3
2025-12-14,3
2025-12-15,6
2025-12-16,4
2025-12-18,9
2025-12-22,7
2025-12-23,5
2025-12-25,5
2026-01-06,1
2026-01-07,1
2026-01-16,1
2026-01-20,2
2026-01-23,1
2026-01-27,1
2026-01-29,2
2026-02-05,1
2026-02-06,1
2026-02-09,2
2026-02-12,1
